code,Colour,Hex code 
AB,ARTIC BLUE,96B7BE
AQ,AQUA,02B3A7
BG,BURGUNDY ,5B001F
BK,BLACK ,000
BL,BLUE,0D116C
BO,BURNT ORANGE,BF4D19
BR,BROWN ,3A231D
CA,CARAMEL,8A7560
CO,COBALT,01052A
CR,CREAM,C4BCAF
DE,DENIM,7A8B93
DG,DARK GREEN,14546
GR,GREEN,314F2B
GY,GREY,575C62
IC,ICEBURG,B5C7D3
KH,KHAKI,D2C2A1
LB,LIGHT BLUE ,659EE3
LBL,LIGHT BLUE ,659EE3
LG,LIGHT GREEN ,A7A618
LGY,LIGHT GREY ,sdfsdf
LI,LIME,56813C
LW,LUSTERWARE,B7B2AC
MO,MOCHA,482D1A
MR,MAROON ,4B2123
MU,MUSTARD,AE8A00
NA,NATURAL ,E1E7DD
NV,NAVY,4B6194
OB,OCEAN BLUE,2.14E+101
OP,OLIVE ,5F5A58
OR,ORANGE,E25229
PB,PALE BLUE ,C5CCD4
PG,PALE GREEN,D0DBCB
PI,PINK,D8A7A5
PL,PLUM,593C48
PU,PURPLE,400E2F
RB,ROYAL BLUE,2A3073
RE,RED,C30728
RG,RYE GREEN ,CFE277
RU,RUST,CB5B3D
SA,SAND,B8A391
SB,SKY BLUE,508AB2
SI,SILVER,B1BBBC
SM,SMOKE,444244
ST,STONE,bfbdaf
SV,SAVANNAH,D2CAB3
TA,TANGERINE,E39808
TC,TERRACOTTA,B05A0D
TE,TEAL,5391A3
WH,WHITE,FFF
YE,YELLOW,F9DD3E
RED,RED,C30728
BOR,BURNT ORANGE,BF4D19
CL,CLEAR,FFF
LGR,Light Green,919d8d
NE,NEON,bbd51a
SS,STAINLESS STEEL,sdfsdf
WA,WATERMELLON,e64555
